locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIDOOLCM_00115	CDS	453	ohrR_1			Organic hydroperoxide resistance transcriptional regulator
PIDOOLCM_00116	CDS	642	nicS			HTH-type transcriptional repressor NicS
PIDOOLCM_00117	CDS	474				hypothetical protein
PIDOOLCM_00118	CDS	777	yjjP		COG2966	Inner membrane protein YjjP
PIDOOLCM_00119	CDS	735	yjjQ			Putative transcription factor YjjQ
PIDOOLCM_00120	CDS	687	bglJ		COG2197	Transcriptional activator protein BglJ
PIDOOLCM_00121	CDS	459				hypothetical protein
PIDOOLCM_00122	CDS	1347	licC_1		COG1455	Lichenan permease IIC component
PIDOOLCM_00123	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
PIDOOLCM_00124	CDS	1065				hypothetical protein
PIDOOLCM_00125	CDS	231				hypothetical protein
PIDOOLCM_00126	tRNA	87				tRNA-Leu(cag)
PIDOOLCM_00127	tRNA	87				tRNA-Leu(cag)
PIDOOLCM_00128	tRNA	87				tRNA-Leu(cag)
PIDOOLCM_00129	CDS	1029	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
PIDOOLCM_00130	CDS	414	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
PIDOOLCM_00131	CDS	444	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
PIDOOLCM_00132	CDS	678	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
PIDOOLCM_00133	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
PIDOOLCM_00134	CDS	618	osmY_1		COG2823	Osmotically-inducible protein Y
PIDOOLCM_00135	CDS	162				hypothetical protein
PIDOOLCM_00136	CDS	1053				hypothetical protein
PIDOOLCM_00137	CDS	783	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
PIDOOLCM_00138	CDS	861	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
PIDOOLCM_00139	CDS	1548	yjjI			putative protein YjjI
PIDOOLCM_00140	CDS	780	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
PIDOOLCM_00141	CDS	1335	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
PIDOOLCM_00142	CDS	1224	deoB	5.4.2.7	COG1015	Phosphopentomutase
PIDOOLCM_00143	CDS	723	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
PIDOOLCM_00144	CDS	1017	lplA	6.3.1.20	COG0095	Lipoate-protein ligase A
PIDOOLCM_00145	CDS	645	ytjB		COG3726	putative inner membrane protein Smp
PIDOOLCM_00146	CDS	969	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
PIDOOLCM_00147	CDS	1386	radA	3.6.4.-	COG1066	DNA repair protein RadA
PIDOOLCM_00148	CDS	1233	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
PIDOOLCM_00149	CDS	1002				Zinc-type alcohol dehydrogenase-like protein
PIDOOLCM_00150	CDS	900	pgrR_2			HTH-type transcriptional regulator PgrR
PIDOOLCM_00151	CDS	1668	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
PIDOOLCM_00152	CDS	1938	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
PIDOOLCM_00153	CDS	330	trpR		COG2973	Trp operon repressor
PIDOOLCM_00154	CDS	516	yjjX	3.6.1.-	COG1986	Inosine/xanthosine triphosphatase
PIDOOLCM_00155	CDS	648	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
PIDOOLCM_00156	CDS	870	rob		COG2207	Right origin-binding protein
PIDOOLCM_00157	CDS	474				hypothetical protein
PIDOOLCM_00158	CDS	717	arcA_1		COG0745	Aerobic respiration control protein ArcA
PIDOOLCM_00159	CDS	687		2.1.1.-	COG0565	putative tRNA/rRNA methyltransferase
PIDOOLCM_00160	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
PIDOOLCM_00161	CDS	930	thrB	2.7.1.39	COG0083	Homoserine kinase
PIDOOLCM_00162	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
PIDOOLCM_00163	CDS	294				hypothetical protein
PIDOOLCM_00164	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
PIDOOLCM_00165	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
PIDOOLCM_00166	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
PIDOOLCM_00167	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
PIDOOLCM_00168	CDS	1323	proP_1			Proline/betaine transporter
PIDOOLCM_00169	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
PIDOOLCM_00170	CDS	1914	dnaK_1		COG0443	Chaperone protein DnaK
PIDOOLCM_00171	CDS	1146	dnaJ		COG0484	Chaperone protein DnaJ
PIDOOLCM_00172	CDS	1176	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
PIDOOLCM_00173	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
PIDOOLCM_00174	CDS	264	rpsT		COG0268	30S ribosomal protein S20
PIDOOLCM_00175	CDS	927	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
PIDOOLCM_00176	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
PIDOOLCM_00177	CDS	501	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
PIDOOLCM_00178	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
PIDOOLCM_00179	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PIDOOLCM_00180	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PIDOOLCM_00181	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
PIDOOLCM_00182	CDS	3225	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
PIDOOLCM_00183	CDS	234	ygdR_1			putative lipoprotein YgdR
PIDOOLCM_00184	CDS	2910				hypothetical protein
PIDOOLCM_00185	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
PIDOOLCM_00186	CDS	1866	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
PIDOOLCM_00187	CDS	480				IS1595 family transposase ISSsu9
PIDOOLCM_00188	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
PIDOOLCM_00189	CDS	378	apaG		COG2967	Protein ApaG
PIDOOLCM_00190	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
PIDOOLCM_00191	CDS	987	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
PIDOOLCM_00192	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
PIDOOLCM_00193	CDS	2352	lptD		COG1452	LPS-assembly protein LptD
PIDOOLCM_00194	CDS	819	djlA		COG1076	Co-chaperone protein DjlA
PIDOOLCM_00195	CDS	660	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
PIDOOLCM_00196	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
PIDOOLCM_00197	CDS	2358	polB	2.7.7.7	COG0417	DNA polymerase II
PIDOOLCM_00198	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
PIDOOLCM_00199	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
PIDOOLCM_00200	CDS	1710	araB	2.7.1.16	COG1069	Ribulokinase
PIDOOLCM_00201	CDS	846	araC			Arabinose operon regulatory protein
PIDOOLCM_00202	CDS	768	yabI		COG0586	Inner membrane protein YabI
PIDOOLCM_00203	CDS	702	thiQ_1	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
PIDOOLCM_00204	CDS	1611				hypothetical protein
PIDOOLCM_00205	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
PIDOOLCM_00206	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
PIDOOLCM_00207	CDS	153				hypothetical protein
PIDOOLCM_00208	CDS	1179	setA			Sugar efflux transporter A
PIDOOLCM_00209	CDS	153	hokA			Protein HokA
PIDOOLCM_00210	CDS	606	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
PIDOOLCM_00211	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
PIDOOLCM_00212	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
PIDOOLCM_00213	CDS	1572	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
PIDOOLCM_00214	CDS	945	leuO			HTH-type transcriptional regulator LeuO
PIDOOLCM_00215	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
PIDOOLCM_00216	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
PIDOOLCM_00217	CDS	1005	cra_1		COG1609	Catabolite repressor/activator
PIDOOLCM_00218	CDS	495	mraZ		COG2001	Transcriptional regulator MraZ
PIDOOLCM_00219	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
PIDOOLCM_00220	CDS	366	ftsL		COG3116	Cell division protein FtsL
PIDOOLCM_00221	CDS	1767	ftsI_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
PIDOOLCM_00222	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
PIDOOLCM_00223	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PIDOOLCM_00224	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
PIDOOLCM_00225	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
PIDOOLCM_00226	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
PIDOOLCM_00227	CDS	1065	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
PIDOOLCM_00228	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
PIDOOLCM_00229	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
PIDOOLCM_00230	CDS	843	ftsQ		COG1589	Cell division protein FtsQ
PIDOOLCM_00231	CDS	1257	ftsA		COG0849	Cell division protein FtsA
PIDOOLCM_00232	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
PIDOOLCM_00233	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
PIDOOLCM_00234	CDS	435	secM			Secretion monitor
PIDOOLCM_00235	CDS	2706	secA		COG0653	Protein translocase subunit SecA
PIDOOLCM_00236	CDS	393	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
PIDOOLCM_00237	CDS	195	yacG		COG3024	DNA gyrase inhibitor YacG
PIDOOLCM_00238	CDS	744	zapD		COG4582	Cell division protein ZapD
PIDOOLCM_00239	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
PIDOOLCM_00240	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
PIDOOLCM_00241	CDS	1185	epsF		COG1459	Type II secretion system protein F
PIDOOLCM_00242	CDS	1383	epsE		COG2804	Type II secretion system protein E
PIDOOLCM_00243	CDS	438	pilE			Fimbrial protein
PIDOOLCM_00244	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
PIDOOLCM_00245	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
PIDOOLCM_00246	CDS	855	ampE		COG3725	Protein AmpE
PIDOOLCM_00247	CDS	951		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
PIDOOLCM_00248	CDS	1413	yicJ_1		COG2211	Inner membrane symporter YicJ
PIDOOLCM_00249	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
PIDOOLCM_00250	CDS	765	pdhR		COG2186	Pyruvate dehydrogenase complex repressor
PIDOOLCM_00251	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
PIDOOLCM_00252	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PIDOOLCM_00253	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
PIDOOLCM_00254	CDS	792				hypothetical protein
PIDOOLCM_00255	CDS	1545				hypothetical protein
PIDOOLCM_00256	CDS	2598	acnB_1	4.2.1.3	COG1049	Aconitate hydratase B
PIDOOLCM_00257	CDS	363				hypothetical protein
PIDOOLCM_00258	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
PIDOOLCM_00259	CDS	870	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
PIDOOLCM_00260	CDS	324				hypothetical protein
PIDOOLCM_00261	CDS	1569	cueO		COG2132	Blue copper oxidase CueO
PIDOOLCM_00262	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
PIDOOLCM_00263	CDS	549	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
PIDOOLCM_00264	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
PIDOOLCM_00265	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
PIDOOLCM_00266	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
PIDOOLCM_00267	CDS	441				hypothetical protein
PIDOOLCM_00268	CDS	1299				hypothetical protein
PIDOOLCM_00269	CDS	1074				hypothetical protein
PIDOOLCM_00270	CDS	636	yadK			putative fimbrial-like protein YadK
PIDOOLCM_00271	CDS	558	yadL			putative fimbrial-like protein YadL
PIDOOLCM_00272	CDS	579	yadM			putative fimbrial-like protein YadM
PIDOOLCM_00273	CDS	2580	htrE_1		COG3188	Outer membrane usher protein HtrE
PIDOOLCM_00274	CDS	738	yadV_1			putative fimbrial chaperone YadV
PIDOOLCM_00275	CDS	588				hypothetical protein
PIDOOLCM_00276	CDS	381	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
PIDOOLCM_00277	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
PIDOOLCM_00278	CDS	792	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
PIDOOLCM_00279	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
PIDOOLCM_00280	CDS	1344	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
PIDOOLCM_00281	CDS	891	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
PIDOOLCM_00282	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
PIDOOLCM_00283	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
PIDOOLCM_00284	CDS	555	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
PIDOOLCM_00285	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
PIDOOLCM_00286	CDS	2529	mrcB		COG0744	Penicillin-binding protein 1B
PIDOOLCM_00287	CDS	2211	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
PIDOOLCM_00288	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
PIDOOLCM_00289	CDS	894	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
PIDOOLCM_00290	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
PIDOOLCM_00291	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
PIDOOLCM_00292	CDS	1401	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
PIDOOLCM_00293	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
PIDOOLCM_00294	CDS	624				hypothetical protein
PIDOOLCM_00295	CDS	819	btuF		COG0614	Vitamin B12-binding protein
PIDOOLCM_00296	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
PIDOOLCM_00297	CDS	1515	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
PIDOOLCM_00298	CDS	1437	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
PIDOOLCM_00299	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
PIDOOLCM_00300	CDS	387				hypothetical protein
PIDOOLCM_00301	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
PIDOOLCM_00302	CDS	2676	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
PIDOOLCM_00303	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
PIDOOLCM_00304	CDS	726	rpsB		COG0052	30S ribosomal protein S2
PIDOOLCM_00305	CDS	852	tsf		COG0264	Elongation factor Ts
PIDOOLCM_00306	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
PIDOOLCM_00307	CDS	558	frr		COG0233	Ribosome-recycling factor
PIDOOLCM_00308	CDS	1200	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PIDOOLCM_00309	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
PIDOOLCM_00310	CDS	858	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
PIDOOLCM_00311	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
PIDOOLCM_00312	CDS	2418	bamA		COG4775	Outer membrane protein assembly factor BamA
PIDOOLCM_00313	CDS	495	skp		COG2825	Chaperone protein Skp
PIDOOLCM_00314	CDS	1026	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
PIDOOLCM_00315	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
PIDOOLCM_00316	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
PIDOOLCM_00317	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
PIDOOLCM_00318	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
PIDOOLCM_00319	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
PIDOOLCM_00320	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
PIDOOLCM_00321	CDS	2133	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
PIDOOLCM_00322	CDS	390				hypothetical protein
PIDOOLCM_00323	CDS	1287	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
